# ground truth trajectory
# file: 'MH_01_easy.bag'
# timestamp tx ty tz qx qy qz qw
1403636580.838556 4.6883192 -1.7869380 0.7833380 -0.1530290 -0.8273830 -0.0821520 0.5341080 
1403636580.843555 4.6881771 -1.7867700 0.7873500 -0.1529900 -0.8269760 -0.0828630 0.5346400 
1403636580.848556 4.6880279 -1.7865980 0.7913820 -0.1529450 -0.8265620 -0.0836050 0.5351780 
1403636580.853555 4.6878781 -1.7864209 0.7954290 -0.1528840 -0.8261460 -0.0843910 0.5357150 
1403636580.858556 4.6877270 -1.7862400 0.7994840 -0.1528210 -0.8257310 -0.0852130 0.5362440 
1403636580.863555 4.6875792 -1.7860590 0.8035400 -0.1527680 -0.8253140 -0.0860490 0.5367680 
1403636580.868556 4.6874352 -1.7858810 0.8075940 -0.1527250 -0.8248960 -0.0868900 0.5372890 
1403636580.873555 4.6872950 -1.7857090 0.8116420 -0.1526800 -0.8244810 -0.0877250 0.5378040 
1403636580.878556 4.6871581 -1.7855440 0.8156820 -0.1526270 -0.8240670 -0.0885530 0.5383170 
1403636580.883555 4.6870251 -1.7853900 0.8197120 -0.1525660 -0.8236570 -0.0893710 0.5388280 
1403636580.888556 4.6868930 -1.7852470 0.8237340 -0.1524960 -0.8232500 -0.0901700 0.5393370 
1403636580.893555 4.6867628 -1.7851160 0.8277490 -0.1524270 -0.8228450 -0.0909430 0.5398460 
1403636580.898555 4.6866312 -1.7850000 0.8317590 -0.1523670 -0.8224380 -0.0916770 0.5403600 
1403636580.903555 4.6864948 -1.7848980 0.8357650 -0.1523120 -0.8220280 -0.0923620 0.5408830 
1403636580.908556 4.6863551 -1.7848099 0.8397710 -0.1522660 -0.8216190 -0.0929860 0.5414120 
1403636580.913555 4.6862078 -1.7847350 0.8437770 -0.1522280 -0.8212040 -0.0935430 0.5419560 
1403636580.918555 4.6860552 -1.7846709 0.8477830 -0.1521940 -0.8207840 -0.0940390 0.5425160 
1403636580.923556 4.6858959 -1.7846160 0.8517870 -0.1521570 -0.8203610 -0.0944910 0.5430880 
1403636580.928555 4.6857352 -1.7845690 0.8557870 -0.1521050 -0.8199320 -0.0949130 0.5436770 
1403636580.933556 4.6855731 -1.7845310 0.8597780 -0.1520410 -0.8195010 -0.0953150 0.5442750 
1403636580.938555 4.6854119 -1.7845010 0.8637550 -0.1519680 -0.8190760 -0.0957060 0.5448670 
1403636580.943556 4.6852560 -1.7844770 0.8677130 -0.1518780 -0.8186550 -0.0960840 0.5454580 
1403636580.948555 4.6851072 -1.7844599 0.8716520 -0.1517660 -0.8182380 -0.0964550 0.5460500 
1403636580.953555 4.6849661 -1.7844480 0.8755720 -0.1516250 -0.8178340 -0.0968250 0.5466290 
1403636580.958555 4.6848340 -1.7844380 0.8794710 -0.1514580 -0.8174460 -0.0972010 0.5471900 
1403636580.963556 4.6847119 -1.7844290 0.8833480 -0.1512650 -0.8170720 -0.0975930 0.5477330 
1403636580.968555 4.6845970 -1.7844180 0.8872020 -0.1510590 -0.8167070 -0.0979910 0.5482630 
1403636580.973556 4.6844869 -1.7844070 0.8910330 -0.1508520 -0.8163420 -0.0983670 0.5487960 
1403636580.978555 4.6843810 -1.7843961 0.8948400 -0.1506580 -0.8159730 -0.0986960 0.5493390 
1403636580.983556 4.6842780 -1.7843890 0.8986200 -0.1504820 -0.8156020 -0.0989660 0.5498900 
1403636580.988555 4.6841750 -1.7843890 0.9023730 -0.1503070 -0.8152280 -0.0991800 0.5504550 
1403636580.993556 4.6840711 -1.7843961 0.9060960 -0.1501330 -0.8148500 -0.0993500 0.5510310 
1403636580.998555 4.6839652 -1.7844120 0.9097900 -0.1499700 -0.8144760 -0.0994700 0.5516070 
1403636581.003556 4.6838589 -1.7844360 0.9134560 -0.1498310 -0.8141080 -0.0995370 0.5521760 
1403636581.008555 4.6837530 -1.7844660 0.9170920 -0.1497310 -0.8137420 -0.0995550 0.5527390 
1403636581.013556 4.6836462 -1.7845020 0.9206970 -0.1496810 -0.8133760 -0.0995240 0.5532980 
1403636581.018555 4.6835380 -1.7845410 0.9242750 -0.1496850 -0.8130030 -0.0994500 0.5538580 
1403636581.023556 4.6834288 -1.7845820 0.9278310 -0.1497250 -0.8126150 -0.0993510 0.5544350 
1403636581.028556 4.6833200 -1.7846240 0.9313680 -0.1497700 -0.8122120 -0.0992470 0.5550320 
1403636581.033556 4.6832118 -1.7846659 0.9348890 -0.1497900 -0.8118060 -0.0991620 0.5556350 
1403636581.038555 4.6831088 -1.7847040 0.9383950 -0.1497660 -0.8114040 -0.0991110 0.5562380 
1403636581.043555 4.6830120 -1.7847350 0.9418840 -0.1496870 -0.8110140 -0.0991090 0.5568300 
1403636581.048556 4.6829219 -1.7847570 0.9453540 -0.1495630 -0.8106440 -0.0991520 0.5573930 
1403636581.053555 4.6828432 -1.7847691 0.9488050 -0.1494230 -0.8102930 -0.0992250 0.5579290 
1403636581.058556 4.6827722 -1.7847691 0.9522370 -0.1492760 -0.8099500 -0.0993250 0.5584490 
1403636581.063555 4.6827092 -1.7847580 0.9556490 -0.1491260 -0.8096120 -0.0994500 0.5589560 
1403636581.068556 4.6826530 -1.7847400 0.9590400 -0.1489700 -0.8092800 -0.0995920 0.5594530 
1403636581.073555 4.6826000 -1.7847151 0.9624100 -0.1488090 -0.8089420 -0.0997420 0.5599580 
1403636581.078556 4.6825500 -1.7846850 0.9657570 -0.1486650 -0.8085920 -0.0999000 0.5604740 
1403636581.083556 4.6825008 -1.7846510 0.9690770 -0.1485620 -0.8082370 -0.1000470 0.5609890 
1403636581.088556 4.6818652 -1.7841229 0.9724640 -0.1485170 -0.8078560 -0.1001640 0.5614970 
1403636581.093555 4.6817789 -1.7840570 0.9757280 -0.1485620 -0.8074760 -0.1002380 0.5620190 
1403636581.098556 4.6816902 -1.7839910 0.9789610 -0.1486960 -0.8070750 -0.1002720 0.5625530 
1403636581.103555 4.6815982 -1.7839251 0.9821640 -0.1489030 -0.8066450 -0.1002830 0.5631130 
1403636581.108556 4.6815028 -1.7838590 0.9853400 -0.1491700 -0.8061830 -0.1002780 0.5637050 
1403636581.113555 4.6814070 -1.7837940 0.9884900 -0.1494830 -0.8056900 -0.1002750 0.5643280 
1403636581.118556 4.6813102 -1.7837290 0.9916110 -0.1498100 -0.8051780 -0.1002710 0.5649730 
1403636581.123555 4.6812148 -1.7836660 0.9947020 -0.1501360 -0.8046590 -0.1002550 0.5656300 
1403636581.128556 4.6811252 -1.7836040 0.9977630 -0.1504470 -0.8041350 -0.1002330 0.5662960 
1403636581.133555 4.6810431 -1.7835439 1.0007960 -0.1507330 -0.8036150 -0.1002040 0.5669640 
