# ground truth trajectory
# file: 'MH_03_medium.bag'
# timestamp tx ty tz qx qy qz qw
1403637132.888319 4.6311169 -1.7868119 0.5771130 -0.1563670 -0.7763450 -0.0722290 0.6063170 
1403637132.893319 4.6311140 -1.7867830 0.5771100 -0.1563970 -0.7763070 -0.0722190 0.6063590 
1403637132.898319 4.6311111 -1.7867510 0.5771070 -0.1564110 -0.7762780 -0.0722220 0.6063920 
1403637132.903319 4.6311102 -1.7867160 0.5771030 -0.1564060 -0.7762640 -0.0722450 0.6064090 
1403637132.908319 4.6311102 -1.7866770 0.5770970 -0.1563840 -0.7762620 -0.0722980 0.6064120 
1403637132.913319 4.6311111 -1.7866340 0.5770900 -0.1563420 -0.7762750 -0.0723790 0.6063960 
1403637132.918319 4.6311131 -1.7865880 0.5770820 -0.1562860 -0.7763050 -0.0724740 0.6063600 
1403637132.923319 4.6311131 -1.7865400 0.5770750 -0.1562270 -0.7763350 -0.0725750 0.6063250 
1403637132.928319 4.6311102 -1.7864950 0.5770710 -0.1561690 -0.7763550 -0.0726720 0.6063030 
1403637132.933319 4.6311030 -1.7864550 0.5770680 -0.1561260 -0.7763610 -0.0727570 0.6062960 
1403637132.938319 4.6310902 -1.7864240 0.5770660 -0.1561000 -0.7763590 -0.0728100 0.6062980 
1403637132.943319 4.6310740 -1.7864040 0.5770640 -0.1560980 -0.7763530 -0.0728170 0.6063060 
1403637132.948319 4.6310530 -1.7863960 0.5770580 -0.1561370 -0.7763410 -0.0727880 0.6063150 
1403637132.953319 4.6310320 -1.7863990 0.5770500 -0.1562180 -0.7763240 -0.0727260 0.6063230 
1403637132.958319 4.6310101 -1.7864110 0.5770410 -0.1563370 -0.7762980 -0.0726380 0.6063360 
1403637132.963319 4.6309891 -1.7864330 0.5770310 -0.1564900 -0.7762670 -0.0725220 0.6063500 
1403637132.968319 4.6309690 -1.7864619 0.5770210 -0.1566710 -0.7762420 -0.0723760 0.6063530 
1403637132.973319 4.6309462 -1.7864970 0.5770100 -0.1568560 -0.7762330 -0.0722100 0.6063370 
1403637132.978319 4.6309218 -1.7865350 0.5769960 -0.1570280 -0.7762380 -0.0720330 0.6063070 
1403637132.983319 4.6308951 -1.7865720 0.5769810 -0.1571820 -0.7762570 -0.0718630 0.6062630 
1403637132.988319 4.6308689 -1.7866009 0.5769650 -0.1573100 -0.7762910 -0.0717250 0.6062020 
1403637132.993319 4.6308408 -1.7866210 0.5769530 -0.1574070 -0.7763370 -0.0716330 0.6061290 
1403637132.998319 4.6308131 -1.7866290 0.5769440 -0.1574800 -0.7763850 -0.0715850 0.6060540 
1403637133.003319 4.6307840 -1.7866290 0.5769380 -0.1575330 -0.7764270 -0.0715700 0.6059890 
1403637133.008319 4.6307530 -1.7866210 0.5769330 -0.1575740 -0.7764620 -0.0715690 0.6059330 
1403637133.013319 4.6307192 -1.7866100 0.5769260 -0.1576070 -0.7764960 -0.0715590 0.6058820 
1403637133.018319 4.6306839 -1.7865970 0.5769170 -0.1576320 -0.7765220 -0.0715440 0.6058440 
1403637133.023319 4.6306500 -1.7865829 0.5769090 -0.1576500 -0.7765290 -0.0715360 0.6058310 
1403637133.028319 4.6306200 -1.7865670 0.5769040 -0.1576650 -0.7765180 -0.0715450 0.6058400 
1403637133.033319 4.6305971 -1.7865500 0.5769020 -0.1576820 -0.7764930 -0.0715760 0.6058640 
1403637133.038319 4.6305828 -1.7865310 0.5768950 -0.1576960 -0.7764650 -0.0716240 0.6058920 
1403637133.043319 4.6305752 -1.7865150 0.5768900 -0.1577020 -0.7764470 -0.0716770 0.6059070 
1403637133.048319 4.6305728 -1.7865040 0.5768800 -0.1577030 -0.7764480 -0.0717240 0.6058990 
1403637133.053319 4.6305799 -1.7864990 0.5768680 -0.1576900 -0.7764710 -0.0717480 0.6058700 
1403637133.058319 4.6305938 -1.7865010 0.5768600 -0.1576470 -0.7765050 -0.0717510 0.6058380 
1403637133.063319 4.6306171 -1.7865061 0.5768620 -0.1575670 -0.7765340 -0.0717540 0.6058210 
1403637133.068319 4.6306500 -1.7865130 0.5768800 -0.1574540 -0.7765440 -0.0717720 0.6058350 
1403637133.073319 4.6306958 -1.7865180 0.5769180 -0.1573230 -0.7765180 -0.0718210 0.6058970 
1403637133.078319 4.6307559 -1.7865210 0.5769760 -0.1572010 -0.7764460 -0.0719040 0.6060110 
1403637133.083319 4.6308298 -1.7865250 0.5770490 -0.1571030 -0.7763340 -0.0719920 0.6061690 
1403637133.088319 4.6309190 -1.7865340 0.5771240 -0.1570290 -0.7762050 -0.0720390 0.6063480 
1403637133.093319 4.6310129 -1.7865610 0.5772080 -0.1569790 -0.7760750 -0.0720050 0.6065320 
1403637133.098319 4.6311111 -1.7866050 0.5772900 -0.1569360 -0.7759610 -0.0718770 0.6067030 
1403637133.103319 4.6312132 -1.7866631 0.5773690 -0.1568960 -0.7758700 -0.0716690 0.6068550 
1403637133.108319 4.6313190 -1.7867301 0.5774450 -0.1568680 -0.7757920 -0.0714120 0.6069930 
1403637133.113319 4.6314301 -1.7868010 0.5775200 -0.1568500 -0.7757190 -0.0711410 0.6071220 
1403637133.118319 4.6315441 -1.7868700 0.5775970 -0.1568440 -0.7756500 -0.0708670 0.6072450 
1403637133.123319 4.6316581 -1.7869360 0.5776750 -0.1568570 -0.7755740 -0.0705890 0.6073710 
1403637133.128319 4.6317730 -1.7869960 0.5777560 -0.1568920 -0.7754890 -0.0703340 0.6074990 
1403637133.133319 4.6318889 -1.7870470 0.5778390 -0.1569390 -0.7754070 -0.0701200 0.6076170 
1403637133.138319 4.6320081 -1.7870840 0.5779130 -0.1569780 -0.7753350 -0.0699580 0.6077160 
1403637133.143319 4.6321239 -1.7871161 0.5779980 -0.1569980 -0.7752940 -0.0698610 0.6077750 
