# ground truth trajectory
# file: 'MH_05_difficult.bag'
# timestamp tx ty tz qx qy qz qw
1403638519.492829 4.4606748 -1.6805151 0.5796140 -0.7576100 -0.3486290 -0.4977110 0.2382610 
1403638519.497829 4.4607062 -1.6805230 0.5795920 -0.7576160 -0.3486210 -0.4977090 0.2382610 
1403638519.502830 4.4607358 -1.6805300 0.5795710 -0.7576210 -0.3486120 -0.4977060 0.2382620 
1403638519.507829 4.4607658 -1.6805360 0.5795500 -0.7576250 -0.3486060 -0.4977030 0.2382640 
1403638519.512830 4.4607949 -1.6805429 0.5795300 -0.7576270 -0.3486030 -0.4977000 0.2382680 
1403638519.517829 4.4608231 -1.6805490 0.5795110 -0.7576270 -0.3486030 -0.4977000 0.2382700 
1403638519.522830 4.4608512 -1.6805550 0.5794930 -0.7576250 -0.3486060 -0.4977010 0.2382690 
1403638519.527829 4.4608788 -1.6805609 0.5794770 -0.7576240 -0.3486040 -0.4977040 0.2382690 
1403638519.532830 4.4609060 -1.6805670 0.5794630 -0.7576250 -0.3486000 -0.4977060 0.2382660 
1403638519.537829 4.4609318 -1.6805730 0.5794480 -0.7576230 -0.3486060 -0.4977050 0.2382650 
1403638519.542830 4.4609580 -1.6805789 0.5794330 -0.7576210 -0.3486160 -0.4977010 0.2382660 
1403638519.547829 4.4609828 -1.6805840 0.5794180 -0.7576210 -0.3486200 -0.4976990 0.2382640 
1403638519.552830 4.4610071 -1.6805900 0.5794040 -0.7576220 -0.3486160 -0.4977030 0.2382570 
1403638519.557830 4.4610300 -1.6805940 0.5793910 -0.7576230 -0.3486110 -0.4977080 0.2382530 
1403638519.562829 4.4610529 -1.6805980 0.5793790 -0.7576190 -0.3486140 -0.4977100 0.2382550 
1403638519.567830 4.4610748 -1.6806020 0.5793680 -0.7576170 -0.3486180 -0.4977080 0.2382630 
1403638519.572829 4.4610968 -1.6806060 0.5793570 -0.7576210 -0.3486150 -0.4976990 0.2382700 
1403638519.577830 4.4611182 -1.6806099 0.5793460 -0.7576260 -0.3486130 -0.4976910 0.2382740 
1403638519.582829 4.4611392 -1.6806140 0.5793350 -0.7576300 -0.3486120 -0.4976860 0.2382770 
1403638519.587830 4.4611602 -1.6806190 0.5793250 -0.7576320 -0.3486080 -0.4976830 0.2382800 
1403638519.592829 4.4611912 -1.6806270 0.5793100 -0.7576360 -0.3486040 -0.4976800 0.2382780 
1403638519.597830 4.4612131 -1.6806320 0.5793000 -0.7576390 -0.3486020 -0.4976800 0.2382740 
1403638519.602829 4.4612350 -1.6806370 0.5792910 -0.7576410 -0.3486040 -0.4976760 0.2382720 
1403638519.607830 4.4612560 -1.6806420 0.5792830 -0.7576460 -0.3486030 -0.4976690 0.2382710 
1403638519.612829 4.4612761 -1.6806470 0.5792750 -0.7576480 -0.3486030 -0.4976680 0.2382690 
1403638519.617830 4.4612961 -1.6806520 0.5792680 -0.7576460 -0.3486040 -0.4976710 0.2382670 
1403638519.622829 4.4613152 -1.6806580 0.5792610 -0.7576450 -0.3486000 -0.4976750 0.2382690 
1403638519.627830 4.4613328 -1.6806639 0.5792550 -0.7576450 -0.3485920 -0.4976790 0.2382710 
1403638519.632829 4.4613509 -1.6806710 0.5792480 -0.7576460 -0.3485870 -0.4976790 0.2382730 
1403638519.637830 4.4613671 -1.6806780 0.5792400 -0.7576500 -0.3485890 -0.4976730 0.2382740 
1403638519.642829 4.4613900 -1.6806870 0.5792260 -0.7576540 -0.3485960 -0.4976630 0.2382690 
1403638519.647830 4.4614062 -1.6806940 0.5792160 -0.7576610 -0.3486000 -0.4976540 0.2382620 
1403638519.652829 4.4614210 -1.6806999 0.5792070 -0.7576670 -0.3485980 -0.4976480 0.2382570 
1403638519.657830 4.4614339 -1.6807060 0.5791990 -0.7576720 -0.3486000 -0.4976390 0.2382570 
1403638519.662829 4.4614468 -1.6807120 0.5791930 -0.7576760 -0.3485970 -0.4976330 0.2382600 
1403638519.667830 4.4614601 -1.6807190 0.5791870 -0.7576740 -0.3485960 -0.4976360 0.2382620 
1403638519.672829 4.4614720 -1.6807250 0.5791810 -0.7576720 -0.3485960 -0.4976400 0.2382620 
1403638519.677830 4.4614820 -1.6807311 0.5791750 -0.7576750 -0.3485930 -0.4976390 0.2382580 
1403638519.682830 4.4614921 -1.6807359 0.5791690 -0.7576800 -0.3485960 -0.4976330 0.2382500 
1403638519.687829 4.4615011 -1.6807410 0.5791620 -0.7576830 -0.3486000 -0.4976260 0.2382500 
1403638519.692830 4.4615221 -1.6807480 0.5791490 -0.7576820 -0.3486000 -0.4976220 0.2382610 
1403638519.697829 4.4615331 -1.6807520 0.5791430 -0.7576800 -0.3486030 -0.4976180 0.2382720 
1403638519.702830 4.4615431 -1.6807560 0.5791370 -0.7576780 -0.3486090 -0.4976150 0.2382740 
1403638519.707829 4.4615531 -1.6807610 0.5791320 -0.7576820 -0.3486150 -0.4976070 0.2382690 
1403638519.712830 4.4615622 -1.6807660 0.5791270 -0.7576870 -0.3486170 -0.4976020 0.2382640 
1403638519.717829 4.4615698 -1.6807690 0.5791230 -0.7576890 -0.3486150 -0.4976030 0.2382590 
1403638519.722830 4.4615750 -1.6807719 0.5791190 -0.7576900 -0.3486110 -0.4976040 0.2382570 
1403638519.727829 4.4615798 -1.6807750 0.5791160 -0.7576880 -0.3486060 -0.4976070 0.2382640 
1403638519.732830 4.4615841 -1.6807770 0.5791130 -0.7576860 -0.3486060 -0.4976080 0.2382690 
1403638519.737829 4.4615870 -1.6807790 0.5791100 -0.7576880 -0.3486090 -0.4976030 0.2382680 
1403638519.742830 4.4616060 -1.6807840 0.5790980 -0.7576900 -0.3486100 -0.4975990 0.2382690 
1403638519.747829 4.4616108 -1.6807849 0.5790930 -0.7576910 -0.3486110 -0.4975950 0.2382730 
1403638519.752830 4.4616160 -1.6807870 0.5790880 -0.7576930 -0.3486100 -0.4975920 0.2382740 
1403638519.757829 4.4616199 -1.6807890 0.5790840 -0.7576990 -0.3486040 -0.4975880 0.2382730 
1403638519.762830 4.4616232 -1.6807910 0.5790810 -0.7577060 -0.3486000 -0.4975800 0.2382740 
1403638519.767829 4.4616251 -1.6807910 0.5790780 -0.7577130 -0.3485910 -0.4975740 0.2382760 
1403638519.772830 4.4616270 -1.6807920 0.5790760 -0.7577170 -0.3485830 -0.4975710 0.2382800 
1403638519.777829 4.4616270 -1.6807930 0.5790750 -0.7577160 -0.3485770 -0.4975740 0.2382860 
1403638519.782830 4.4616270 -1.6807940 0.5790740 -0.7577150 -0.3485670 -0.4975820 0.2382880 
1403638519.787829 4.4616261 -1.6807960 0.5790730 -0.7577200 -0.3485600 -0.4975810 0.2382870 
1403638519.792830 4.4616241 -1.6807981 0.5790720 -0.7577250 -0.3485570 -0.4975740 0.2382870 
1403638519.797829 4.4616222 -1.6808000 0.5790720 -0.7577310 -0.3485550 -0.4975680 0.2382860 
1403638519.802830 4.4616179 -1.6808000 0.5790710 -0.7577380 -0.3485560 -0.4975580 0.2382820 
1403638519.807830 4.4616141 -1.6808010 0.5790720 -0.7577400 -0.3485580 -0.4975540 0.2382780 
1403638519.812829 4.4616079 -1.6808010 0.5790740 -0.7577410 -0.3485550 -0.4975560 0.2382770 
1403638519.817830 4.4616008 -1.6808010 0.5790770 -0.7577390 -0.3485470 -0.4975640 0.2382790 
1403638519.822829 4.4615932 -1.6808010 0.5790800 -0.7577390 -0.3485390 -0.4975690 0.2382790 
1403638519.827830 4.4615841 -1.6808000 0.5790830 -0.7577440 -0.3485360 -0.4975660 0.2382740 
1403638519.832829 4.4615750 -1.6808000 0.5790860 -0.7577490 -0.3485350 -0.4975640 0.2382660 
1403638519.837830 4.4615641 -1.6808000 0.5790900 -0.7577520 -0.3485300 -0.4975660 0.2382580 
1403638519.842829 4.4616418 -1.6808240 0.5790350 -0.7577590 -0.3485220 -0.4975630 0.2382540 
1403638519.847830 4.4616389 -1.6808259 0.5790340 -0.7577630 -0.3485150 -0.4975600 0.2382580 
1403638519.852829 4.4616351 -1.6808270 0.5790350 -0.7577620 -0.3485140 -0.4975580 0.2382660 
1403638519.857830 4.4616289 -1.6808280 0.5790360 -0.7577610 -0.3485210 -0.4975540 0.2382670 
1403638519.862830 4.4616232 -1.6808270 0.5790360 -0.7577650 -0.3485300 -0.4975440 0.2382640 
1403638519.867830 4.4616151 -1.6808259 0.5790360 -0.7577700 -0.3485300 -0.4975360 0.2382630 
1403638519.872829 4.4616070 -1.6808240 0.5790350 -0.7577770 -0.3485300 -0.4975250 0.2382640 
1403638519.877830 4.4615989 -1.6808220 0.5790360 -0.7577850 -0.3485270 -0.4975170 0.2382620 
