# ground truth trajectory
# file: 'V1_02_medium.bag'
# timestamp tx ty tz qx qy qz qw
1403715524.907143 0.5153560 1.9967730 0.9711040 0.7899850 -0.2053760 0.5545280 0.1619960 
1403715524.912143 0.5153420 1.9967231 0.9710770 0.7900150 -0.2052830 0.5545460 0.1619040 
1403715524.917143 0.5153210 1.9966650 0.9710510 0.7900280 -0.2052220 0.5545640 0.1618600 
1403715524.922143 0.5152920 1.9965971 0.9710280 0.7900120 -0.2052150 0.5545870 0.1618690 
1403715524.927143 0.5152550 1.9965190 0.9710050 0.7899870 -0.2052650 0.5545900 0.1619170 
1403715524.932143 0.5152140 1.9964380 0.9709810 0.7899490 -0.2053550 0.5545890 0.1619900 
1403715524.937143 0.5151760 1.9963590 0.9709540 0.7899160 -0.2054550 0.5545810 0.1620510 
1403715524.942143 0.5151430 1.9962900 0.9709240 0.7899050 -0.2055340 0.5545620 0.1620690 
1403715524.947143 0.5151200 1.9962341 0.9708930 0.7899080 -0.2055500 0.5545590 0.1620490 
1403715524.952143 0.5151060 1.9961910 0.9708630 0.7899330 -0.2055090 0.5545540 0.1619950 
1403715524.957143 0.5151060 1.9961630 0.9708320 0.7899620 -0.2054270 0.5545680 0.1619100 
1403715524.962143 0.5150980 1.9961290 0.9708040 0.7899780 -0.2053500 0.5545940 0.1618380 
1403715524.967143 0.5150860 1.9960910 0.9707790 0.7899880 -0.2053030 0.5546140 0.1617820 
1403715524.972143 0.5150670 1.9960440 0.9707550 0.7899790 -0.2053040 0.5546320 0.1617600 
1403715524.977143 0.5150420 1.9959890 0.9707330 0.7899630 -0.2053510 0.5546310 0.1617800 
1403715524.982143 0.5150130 1.9959290 0.9707090 0.7899500 -0.2054190 0.5546090 0.1618360 
1403715524.987143 0.5149850 1.9958720 0.9706870 0.7899370 -0.2054770 0.5545850 0.1619070 
1403715524.992143 0.5149620 1.9958260 0.9706680 0.7899330 -0.2054950 0.5545690 0.1619560 
1403715524.997143 0.5149470 1.9957941 0.9706510 0.7899360 -0.2054610 0.5545840 0.1619350 
1403715525.002143 0.5149360 1.9957690 0.9706360 0.7899350 -0.2054060 0.5546290 0.1618580 
1403715525.007143 0.5149400 1.9957510 0.9706340 0.7899410 -0.2053540 0.5546620 0.1617820 
1403715525.012143 0.5149230 1.9957150 0.9706190 0.7899260 -0.2054030 0.5546690 0.1617650 
1403715525.017143 0.5148950 1.9956650 0.9706010 0.7899040 -0.2055110 0.5546400 0.1618410 
1403715525.022143 0.5148610 1.9956100 0.9705840 0.7898830 -0.2056290 0.5545890 0.1619650 
1403715525.027143 0.5148340 1.9955651 0.9705690 0.7898600 -0.2057120 0.5545630 0.1620580 
1403715525.032143 0.5148230 1.9955440 0.9705550 0.7898610 -0.2056890 0.5545670 0.1620700 
1403715525.037143 0.5148290 1.9955490 0.9705420 0.7898860 -0.2055640 0.5546130 0.1619500 
1403715525.042143 0.5148430 1.9955620 0.9705280 0.7899160 -0.2053960 0.5546880 0.1617590 
1403715525.047143 0.5148510 1.9955640 0.9705120 0.7899680 -0.2052540 0.5547130 0.1616020 
1403715525.052143 0.5148410 1.9955420 0.9704930 0.7900050 -0.2052110 0.5546880 0.1615590 
