# ground truth trajectory
# file: 'V1_03_difficult.bag'
# timestamp tx ty tz qx qy qz qw
1403715888.379058 0.8980290 2.0282080 0.9557110 0.8278810 -0.0508310 0.5562490 0.0511530 
1403715888.384058 0.8980590 2.0281479 0.9556740 0.8278860 -0.0508320 0.5562420 0.0511460 
1403715888.389058 0.8980870 2.0280900 0.9556380 0.8278900 -0.0508390 0.5562360 0.0511480 
1403715888.394058 0.8981150 2.0280321 0.9556030 0.8278950 -0.0508460 0.5562270 0.0511520 
1403715888.399058 0.8981410 2.0279751 0.9555690 0.8278990 -0.0508500 0.5562200 0.0511520 
1403715888.404058 0.8981670 2.0279191 0.9555360 0.8279010 -0.0508550 0.5562170 0.0511470 
1403715888.409058 0.8981910 2.0278649 0.9555040 0.8279040 -0.0508590 0.5562120 0.0511410 
1403715888.414058 0.8982150 2.0278139 0.9554730 0.8279070 -0.0508630 0.5562080 0.0511380 
1403715888.419058 0.8982380 2.0277650 0.9554420 0.8279090 -0.0508670 0.5562050 0.0511390 
1403715888.424058 0.8982610 2.0277171 0.9554100 0.8279130 -0.0508650 0.5561990 0.0511380 
1403715888.429058 0.8982830 2.0276840 0.9553790 0.8279120 -0.0508640 0.5562010 0.0511390 
1403715888.434058 0.8983050 2.0276389 0.9553500 0.8279100 -0.0508630 0.5562050 0.0511380 
1403715888.439058 0.8983250 2.0275960 0.9553210 0.8279110 -0.0508640 0.5562040 0.0511300 
1403715888.444058 0.8983440 2.0275540 0.9552930 0.8279140 -0.0508670 0.5562000 0.0511190 
1403715888.449058 0.8983630 2.0275130 0.9552660 0.8279150 -0.0508670 0.5561990 0.0511140 
1403715888.454058 0.8983810 2.0274730 0.9552400 0.8279160 -0.0508680 0.5561960 0.0511150 
1403715888.459058 0.8983990 2.0274341 0.9552140 0.8279170 -0.0508710 0.5561950 0.0511130 
1403715888.464058 0.8984150 2.0273950 0.9551900 0.8279180 -0.0508710 0.5561940 0.0511120 
1403715888.469058 0.8984320 2.0273571 0.9551650 0.8279210 -0.0508660 0.5561890 0.0511160 
1403715888.474058 0.8984470 2.0273211 0.9551420 0.8279240 -0.0508630 0.5561850 0.0511170 
1403715888.479058 0.8984640 2.0272901 0.9551130 0.8279280 -0.0508560 0.5561800 0.0511170 
1403715888.484058 0.8984790 2.0272551 0.9550920 0.8279380 -0.0508520 0.5561660 0.0511160 
1403715888.489058 0.8984930 2.0272219 0.9550720 0.8279440 -0.0508500 0.5561570 0.0511180 
1403715888.494058 0.8985060 2.0271909 0.9550530 0.8279490 -0.0508470 0.5561500 0.0511170 
1403715888.499058 0.8985190 2.0271621 0.9550340 0.8279560 -0.0508480 0.5561400 0.0511120 
1403715888.504058 0.8985320 2.0271361 0.9550160 0.8279590 -0.0508530 0.5561360 0.0511070 
1403715888.509058 0.8985430 2.0271120 0.9549990 0.8279570 -0.0508590 0.5561370 0.0510980 
1403715888.514058 0.8985550 2.0270901 0.9549820 0.8279560 -0.0508620 0.5561400 0.0510860 
1403715888.519058 0.8985650 2.0270700 0.9549670 0.8279540 -0.0508620 0.5561440 0.0510750 
1403715888.524058 0.8985750 2.0270510 0.9549530 0.8279520 -0.0508600 0.5561480 0.0510620 
1403715888.529058 0.8985920 2.0270281 0.9549260 0.8279430 -0.0508570 0.5561630 0.0510570 
1403715888.534058 0.8986020 2.0270071 0.9549110 0.8279450 -0.0508600 0.5561610 0.0510510 
1403715888.539058 0.8986120 2.0269880 0.9548960 0.8279480 -0.0508630 0.5561550 0.0510460 
1403715888.544058 0.8986210 2.0269690 0.9548820 0.8279510 -0.0508700 0.5561500 0.0510430 
1403715888.549058 0.8986300 2.0269530 0.9548680 0.8279560 -0.0508780 0.5561430 0.0510410 
1403715888.554058 0.8986380 2.0269380 0.9548560 0.8279590 -0.0508840 0.5561380 0.0510370 
1403715888.559058 0.8986450 2.0269239 0.9548440 0.8279630 -0.0508900 0.5561320 0.0510340 
1403715888.564058 0.8986510 2.0269101 0.9548340 0.8279690 -0.0508940 0.5561220 0.0510370 
1403715888.569058 0.8986560 2.0268970 0.9548250 0.8279750 -0.0508910 0.5561140 0.0510390 
1403715888.574058 0.8986610 2.0268860 0.9548170 0.8279800 -0.0508810 0.5561070 0.0510430 
1403715888.579058 0.8986760 2.0268641 0.9547930 0.8279820 -0.0508660 0.5561040 0.0510610 
1403715888.584058 0.8986820 2.0268509 0.9547830 0.8279870 -0.0508660 0.5560950 0.0510680 
1403715888.589058 0.8986870 2.0268390 0.9547750 0.8279920 -0.0508670 0.5560880 0.0510700 
1403715888.594058 0.8986910 2.0268290 0.9547670 0.8279990 -0.0508620 0.5560770 0.0510690 
1403715888.599058 0.8986940 2.0268199 0.9547600 0.8280020 -0.0508590 0.5560740 0.0510650 
1403715888.604058 0.8986970 2.0268130 0.9547540 0.8280000 -0.0508630 0.5560780 0.0510620 
1403715888.609058 0.8986980 2.0268071 0.9547490 0.8279980 -0.0508740 0.5560780 0.0510630 
1403715888.614058 0.8986990 2.0268040 0.9547460 0.8280000 -0.0508830 0.5560740 0.0510620 
1403715888.619058 0.8986990 2.0268021 0.9547440 0.8280030 -0.0508920 0.5560700 0.0510590 
1403715888.624058 0.8986990 2.0268021 0.9547440 0.8280030 -0.0508990 0.5560690 0.0510580 
1403715888.629058 0.8987130 2.0267839 0.9547220 0.8279950 -0.0509010 0.5560810 0.0510620 
1403715888.634058 0.8987150 2.0267789 0.9547200 0.8279960 -0.0509080 0.5560800 0.0510580 
1403715888.639058 0.8987170 2.0267761 0.9547190 0.8279970 -0.0509150 0.5560780 0.0510520 
1403715888.644058 0.8987170 2.0267749 0.9547180 0.8280000 -0.0509170 0.5560740 0.0510460 
1403715888.649058 0.8987170 2.0267739 0.9547190 0.8280020 -0.0509120 0.5560720 0.0510430 
1403715888.654058 0.8987160 2.0267739 0.9547200 0.8280040 -0.0509070 0.5560690 0.0510420 
1403715888.659058 0.8987130 2.0267749 0.9547230 0.8280080 -0.0509050 0.5560630 0.0510410 
1403715888.664058 0.8987110 2.0267770 0.9547250 0.8280130 -0.0509020 0.5560570 0.0510400 
1403715888.669058 0.8987080 2.0267811 0.9547280 0.8280160 -0.0509000 0.5560520 0.0510420 
1403715888.674058 0.8987040 2.0267849 0.9547320 0.8280200 -0.0509010 0.5560440 0.0510510 
1403715888.679058 0.8987170 2.0267651 0.9547090 0.8280160 -0.0508950 0.5560500 0.0510690 
1403715888.684058 0.8987160 2.0267639 0.9547090 0.8280170 -0.0508980 0.5560480 0.0510720 
1403715888.689058 0.8987140 2.0267639 0.9547100 0.8280190 -0.0509000 0.5560450 0.0510690 
1403715888.694058 0.8987100 2.0267661 0.9547120 0.8280230 -0.0509040 0.5560390 0.0510610 
1403715888.699058 0.8987060 2.0267689 0.9547140 0.8280270 -0.0509050 0.5560340 0.0510490 
1403715888.704058 0.8987020 2.0267739 0.9547160 0.8280300 -0.0509050 0.5560310 0.0510390 
1403715888.709058 0.8986970 2.0267799 0.9547190 0.8280310 -0.0509080 0.5560290 0.0510330 
1403715888.714058 0.8986910 2.0267861 0.9547220 0.8280350 -0.0509110 0.5560240 0.0510320 
1403715888.719058 0.8986840 2.0267940 0.9547270 0.8280370 -0.0509140 0.5560210 0.0510310 
1403715888.724058 0.8986760 2.0268030 0.9547320 0.8280340 -0.0509230 0.5560240 0.0510250 
1403715888.729058 0.8986880 2.0267811 0.9547080 0.8280240 -0.0509180 0.5560380 0.0510340 
1403715888.734058 0.8986830 2.0267820 0.9547070 0.8280290 -0.0509180 0.5560310 0.0510300 
1403715888.739058 0.8986770 2.0267849 0.9547080 0.8280350 -0.0509180 0.5560240 0.0510220 
1403715888.744058 0.8986710 2.0267899 0.9547100 0.8280390 -0.0509160 0.5560190 0.0510180 
1403715888.749058 0.8986640 2.0267961 0.9547120 0.8280440 -0.0509150 0.5560110 0.0510140 
1403715888.754058 0.8986560 2.0268021 0.9547150 0.8280520 -0.0509130 0.5560010 0.0510090 
1403715888.759058 0.8986480 2.0268099 0.9547190 0.8280570 -0.0509100 0.5559930 0.0510070 
1403715888.764058 0.8986390 2.0268190 0.9547240 0.8280610 -0.0509030 0.5559880 0.0510120 
1403715888.769058 0.8986290 2.0268290 0.9547300 0.8280640 -0.0508960 0.5559830 0.0510170 
1403715888.774058 0.8986200 2.0268409 0.9547380 0.8280670 -0.0508950 0.5559790 0.0510180 
1403715888.779058 0.8986290 2.0268171 0.9547140 0.8280580 -0.0508890 0.5559910 0.0510340 
1403715888.784058 0.8986230 2.0268209 0.9547160 0.8280580 -0.0508930 0.5559900 0.0510310 
1403715888.789058 0.8986170 2.0268259 0.9547190 0.8280580 -0.0508970 0.5559910 0.0510230 
1403715888.794058 0.8986110 2.0268309 0.9547230 0.8280580 -0.0509030 0.5559920 0.0510160 
1403715888.799058 0.8986040 2.0268381 0.9547270 0.8280610 -0.0509070 0.5559880 0.0510080 
1403715888.804058 0.8985970 2.0268469 0.9547330 0.8280660 -0.0509130 0.5559800 0.0510010 
1403715888.809058 0.8985890 2.0268569 0.9547390 0.8280710 -0.0509220 0.5559720 0.0510000 
1403715888.814058 0.8985820 2.0268691 0.9547460 0.8280740 -0.0509260 0.5559670 0.0510040 
1403715888.819058 0.8985740 2.0268829 0.9547530 0.8280780 -0.0509250 0.5559600 0.0510070 
1403715888.824058 0.8985660 2.0268960 0.9547610 0.8280830 -0.0509210 0.5559530 0.0510050 
1403715888.829058 0.8985770 2.0268710 0.9547340 0.8280760 -0.0509080 0.5559640 0.0510180 
1403715888.834058 0.8985730 2.0268750 0.9547340 0.8280820 -0.0509090 0.5559550 0.0510200 
1403715888.839058 0.8985670 2.0268800 0.9547350 0.8280860 -0.0509120 0.5559480 0.0510180 
1403715888.844058 0.8985620 2.0268860 0.9547360 0.8280900 -0.0509130 0.5559430 0.0510140 
1403715888.849058 0.8985570 2.0268929 0.9547370 0.8280950 -0.0509110 0.5559350 0.0510130 
1403715888.854058 0.8985530 2.0269020 0.9547390 0.8281010 -0.0509090 0.5559270 0.0510130 
1403715888.859058 0.8985480 2.0269110 0.9547420 0.8281060 -0.0509070 0.5559200 0.0510120 
1403715888.864058 0.8985440 2.0269210 0.9547460 0.8281110 -0.0509070 0.5559130 0.0510110 
1403715888.869058 0.8985390 2.0269330 0.9547510 0.8281140 -0.0509070 0.5559080 0.0510090 
1403715888.874058 0.8985340 2.0269461 0.9547580 0.8281140 -0.0509080 0.5559090 0.0510040 
1403715888.879058 0.8985510 2.0269189 0.9547290 0.8280990 -0.0509030 0.5559300 0.0510160 
1403715888.884058 0.8985500 2.0269229 0.9547290 0.8281050 -0.0509100 0.5559210 0.0510120 
1403715888.889058 0.8985490 2.0269289 0.9547290 0.8281110 -0.0509110 0.5559130 0.0510090 
1403715888.894058 0.8985470 2.0269351 0.9547320 0.8281120 -0.0509120 0.5559110 0.0510050 
1403715888.899058 0.8985440 2.0269430 0.9547350 0.8281110 -0.0509190 0.5559130 0.0509960 
1403715888.904058 0.8985410 2.0269511 0.9547400 0.8281100 -0.0509260 0.5559150 0.0509840 
1403715888.909058 0.8985370 2.0269599 0.9547460 0.8281120 -0.0509260 0.5559120 0.0509760 
1403715888.914058 0.8985320 2.0269690 0.9547530 0.8281180 -0.0509270 0.5559040 0.0509770 
1403715888.919058 0.8985270 2.0269780 0.9547620 0.8281230 -0.0509310 0.5558950 0.0509800 
1403715888.924058 0.8985220 2.0269890 0.9547720 0.8281280 -0.0509320 0.5558890 0.0509750 
1403715888.929058 0.8985360 2.0269580 0.9547440 0.8281160 -0.0509190 0.5559060 0.0509890 
1403715888.934058 0.8985330 2.0269589 0.9547490 0.8281190 -0.0509210 0.5559000 0.0509920 
1403715888.939058 0.8985290 2.0269611 0.9547530 0.8281230 -0.0509220 0.5558950 0.0509930 
1403715888.944058 0.8985230 2.0269630 0.9547580 0.8281240 -0.0509280 0.5558920 0.0509960 
1403715888.949058 0.8985170 2.0269661 0.9547620 0.8281270 -0.0509330 0.5558870 0.0510040 
1403715888.954058 0.8985110 2.0269699 0.9547670 0.8281300 -0.0509370 0.5558820 0.0510000 
1403715888.959058 0.8985040 2.0269749 0.9547730 0.8281310 -0.0509400 0.5558810 0.0509950 
1403715888.964058 0.8984970 2.0269830 0.9547800 0.8281350 -0.0509440 0.5558750 0.0509890 
1403715888.969058 0.8984890 2.0269921 0.9547870 0.8281390 -0.0509490 0.5558690 0.0509790 
1403715888.974058 0.8984810 2.0270021 0.9547960 0.8281420 -0.0509530 0.5558650 0.0509740 
1403715888.979058 0.8984960 2.0269699 0.9547640 0.8281310 -0.0509390 0.5558820 0.0509870 
