# ground truth trajectory
# file: 'V2_01_easy.bag'
# timestamp tx ty tz qx qy qz qw
1413393213.480761 -1.0761189 0.4924680 1.3299410 -0.0057880 -0.7951080 0.0087710 0.6063770 
1413393213.485760 -1.0762841 0.4924650 1.3299160 -0.0058150 -0.7950990 0.0087610 0.6063880 
1413393213.490761 -1.0764470 0.4924560 1.3298950 -0.0058220 -0.7950910 0.0087620 0.6063990 
1413393213.495760 -1.0766070 0.4924430 1.3298720 -0.0058120 -0.7951000 0.0087790 0.6063870 
1413393213.500761 -1.0767630 0.4924280 1.3298481 -0.0057900 -0.7951130 0.0088000 0.6063690 
1413393213.505760 -1.0769140 0.4924150 1.3298250 -0.0057710 -0.7951220 0.0088060 0.6063580 
1413393213.510761 -1.0770590 0.4924070 1.3298050 -0.0057580 -0.7951120 0.0087930 0.6063710 
1413393213.515760 -1.0772001 0.4924050 1.3297859 -0.0057600 -0.7951020 0.0087740 0.6063850 
1413393213.520761 -1.0773370 0.4924060 1.3297650 -0.0057840 -0.7951070 0.0087590 0.6063780 
1413393213.525760 -1.0774690 0.4924070 1.3297451 -0.0058200 -0.7951110 0.0087530 0.6063720 
1413393213.530761 -1.0775990 0.4923980 1.3297290 -0.0058420 -0.7951000 0.0087520 0.6063880 
1413393213.535760 -1.0777260 0.4923840 1.3297091 -0.0058490 -0.7951080 0.0087770 0.6063760 
1413393213.540761 -1.0778500 0.4923670 1.3296860 -0.0058410 -0.7951270 0.0088230 0.6063510 
1413393213.545760 -1.0779700 0.4923520 1.3296620 -0.0058260 -0.7951330 0.0088460 0.6063430 
1413393213.550761 -1.0780849 0.4923410 1.3296410 -0.0058170 -0.7951350 0.0088350 0.6063410 
1413393213.555760 -1.0781940 0.4923360 1.3296241 -0.0058170 -0.7951260 0.0088100 0.6063530 
1413393213.560760 -1.0782990 0.4923340 1.3296080 -0.0058390 -0.7951200 0.0087930 0.6063610 
1413393213.565761 -1.0783989 0.4923330 1.3295920 -0.0058680 -0.7951160 0.0087790 0.6063660 
1413393213.570760 -1.0784971 0.4923290 1.3295780 -0.0058850 -0.7951080 0.0087670 0.6063760 
1413393213.575761 -1.0785910 0.4923180 1.3295640 -0.0058860 -0.7951020 0.0087810 0.6063830 
1413393213.580760 -1.0787040 0.4923110 1.3295430 -0.0058670 -0.7951160 0.0088340 0.6063650 
1413393213.585761 -1.0787970 0.4922970 1.3295240 -0.0058480 -0.7951250 0.0088730 0.6063530 
1413393213.590760 -1.0788850 0.4922870 1.3295090 -0.0058360 -0.7951270 0.0088790 0.6063500 
1413393213.595761 -1.0789660 0.4922830 1.3294970 -0.0058390 -0.7951290 0.0088720 0.6063470 
1413393213.600760 -1.0790410 0.4922840 1.3294870 -0.0058650 -0.7951330 0.0088580 0.6063420 
1413393213.605761 -1.0791100 0.4922870 1.3294801 -0.0059020 -0.7951310 0.0088390 0.6063440 
1413393213.610760 -1.0791750 0.4922880 1.3294750 -0.0059340 -0.7951200 0.0088300 0.6063590 
1413393213.615761 -1.0792370 0.4922850 1.3294690 -0.0059480 -0.7951140 0.0088380 0.6063660 
1413393213.620760 -1.0792960 0.4922770 1.3294590 -0.0059390 -0.7951260 0.0088630 0.6063500 
1413393213.625761 -1.0793530 0.4922660 1.3294491 -0.0059150 -0.7951400 0.0088910 0.6063320 
1413393213.630760 -1.0794510 0.4922580 1.3294430 -0.0058920 -0.7951350 0.0088980 0.6063390 
1413393213.635761 -1.0795090 0.4922540 1.3294370 -0.0058860 -0.7951420 0.0088880 0.6063290 
1413393213.640760 -1.0795619 0.4922550 1.3294290 -0.0058910 -0.7951470 0.0088700 0.6063230 
1413393213.645761 -1.0796100 0.4922570 1.3294220 -0.0059110 -0.7951440 0.0088530 0.6063280 
1413393213.650760 -1.0796530 0.4922580 1.3294170 -0.0059340 -0.7951390 0.0088350 0.6063330 
1413393213.655761 -1.0796930 0.4922560 1.3294110 -0.0059480 -0.7951320 0.0088280 0.6063430 
1413393213.660760 -1.0797310 0.4922490 1.3294020 -0.0059480 -0.7951290 0.0088470 0.6063460 
1413393213.665761 -1.0797650 0.4922390 1.3293920 -0.0059330 -0.7951370 0.0088780 0.6063350 
1413393213.670760 -1.0797960 0.4922290 1.3293830 -0.0059180 -0.7951400 0.0089010 0.6063320 
1413393213.675760 -1.0798230 0.4922230 1.3293750 -0.0059100 -0.7951430 0.0089070 0.6063280 
1413393213.680760 -1.0799201 0.4922100 1.3293530 -0.0059130 -0.7951430 0.0088930 0.6063270 
1413393213.685760 -1.0799520 0.4922090 1.3293450 -0.0059260 -0.7951450 0.0088780 0.6063250 
1413393213.690761 -1.0799770 0.4922080 1.3293420 -0.0059480 -0.7951440 0.0088720 0.6063270 
1413393213.695760 -1.0799980 0.4922060 1.3293430 -0.0059660 -0.7951330 0.0088690 0.6063410 
1413393213.700761 -1.0800160 0.4921990 1.3293450 -0.0059700 -0.7951250 0.0088750 0.6063510 
1413393213.705760 -1.0800320 0.4921900 1.3293459 -0.0059640 -0.7951320 0.0089020 0.6063410 
1413393213.710761 -1.0800440 0.4921820 1.3293470 -0.0059600 -0.7951420 0.0089360 0.6063280 
1413393213.715760 -1.0800540 0.4921770 1.3293480 -0.0059640 -0.7951470 0.0089520 0.6063220 
1413393213.720761 -1.0800600 0.4921760 1.3293500 -0.0059740 -0.7951560 0.0089460 0.6063100 
1413393213.725760 -1.0800620 0.4921760 1.3293520 -0.0059870 -0.7951580 0.0089410 0.6063060 
1413393213.730760 -1.0801589 0.4921640 1.3293390 -0.0060040 -0.7951600 0.0089400 0.6063040 
1413393213.735760 -1.0801719 0.4921620 1.3293380 -0.0060110 -0.7951630 0.0089330 0.6063000 
1413393213.740761 -1.0801800 0.4921590 1.3293370 -0.0060040 -0.7951610 0.0089260 0.6063020 
1413393213.745760 -1.0801840 0.4921540 1.3293350 -0.0059880 -0.7951570 0.0089380 0.6063080 
1413393213.750761 -1.0801840 0.4921500 1.3293329 -0.0059780 -0.7951600 0.0089650 0.6063040 
1413393213.755760 -1.0801790 0.4921490 1.3293290 -0.0059800 -0.7951650 0.0089800 0.6062970 
1413393213.760761 -1.0801719 0.4921520 1.3293260 -0.0059880 -0.7951710 0.0089740 0.6062890 
1413393213.765760 -1.0801620 0.4921560 1.3293220 -0.0059970 -0.7951740 0.0089630 0.6062850 
1413393213.770761 -1.0801480 0.4921580 1.3293190 -0.0060040 -0.7951750 0.0089590 0.6062850 
1413393213.775760 -1.0801311 0.4921580 1.3293160 -0.0060050 -0.7951750 0.0089520 0.6062840 
1413393213.780761 -1.0802350 0.4921470 1.3292980 -0.0059940 -0.7951700 0.0089410 0.6062900 
1413393213.785760 -1.0802370 0.4921420 1.3292921 -0.0059760 -0.7951680 0.0089430 0.6062940 
1413393213.790761 -1.0802341 0.4921360 1.3292850 -0.0059600 -0.7951670 0.0089580 0.6062960 
1413393213.795760 -1.0802259 0.4921330 1.3292760 -0.0059650 -0.7951700 0.0089690 0.6062910 
1413393213.800761 -1.0802130 0.4921350 1.3292670 -0.0059820 -0.7951680 0.0089710 0.6062930 
1413393213.805760 -1.0801970 0.4921380 1.3292609 -0.0060010 -0.7951700 0.0089620 0.6062900 
1413393213.810760 -1.0801780 0.4921380 1.3292580 -0.0060180 -0.7951750 0.0089550 0.6062840 
1413393213.815761 -1.0801550 0.4921370 1.3292580 -0.0060300 -0.7951800 0.0089660 0.6062770 
1413393213.820760 -1.0801290 0.4921340 1.3292590 -0.0060270 -0.7951810 0.0089790 0.6062760 
1413393213.825761 -1.0801001 0.4921280 1.3292640 -0.0060110 -0.7951780 0.0089870 0.6062800 
1413393213.830760 -1.0802090 0.4921110 1.3292540 -0.0059910 -0.7951630 0.0089950 0.6062990 
1413393213.835761 -1.0802031 0.4921060 1.3292561 -0.0059860 -0.7951610 0.0089930 0.6063020 
1413393213.840760 -1.0801950 0.4921050 1.3292580 -0.0059950 -0.7951640 0.0089890 0.6062990 
1413393213.845761 -1.0801851 0.4921070 1.3292590 -0.0060070 -0.7951630 0.0089850 0.6062990 
1413393213.850760 -1.0801700 0.4921080 1.3292620 -0.0060200 -0.7951600 0.0089790 0.6063030 
1413393213.855761 -1.0801500 0.4921070 1.3292650 -0.0060300 -0.7951620 0.0089790 0.6063010 
1413393213.860761 -1.0801250 0.4921030 1.3292691 -0.0060250 -0.7951740 0.0089740 0.6062850 
1413393213.865761 -1.0800951 0.4920970 1.3292760 -0.0060040 -0.7951800 0.0089760 0.6062770 
1413393213.870760 -1.0800591 0.4920920 1.3292850 -0.0059800 -0.7951810 0.0089960 0.6062760 
1413393213.875761 -1.0800200 0.4920910 1.3292921 -0.0059690 -0.7951840 0.0090110 0.6062720 
1413393213.880760 -1.0801350 0.4920790 1.3292770 -0.0059800 -0.7951930 0.0090030 0.6062610 
1413393213.885761 -1.0801200 0.4920840 1.3292789 -0.0060080 -0.7952040 0.0089950 0.6062460 
1413393213.890760 -1.0801020 0.4920880 1.3292800 -0.0060390 -0.7952150 0.0089960 0.6062310 
1413393213.895761 -1.0800800 0.4920880 1.3292800 -0.0060580 -0.7952250 0.0090020 0.6062180 
1413393213.900760 -1.0800550 0.4920850 1.3292810 -0.0060640 -0.7952350 0.0090160 0.6062040 
1413393213.905761 -1.0800270 0.4920760 1.3292860 -0.0060470 -0.7952460 0.0090350 0.6061900 
1413393213.910760 -1.0799960 0.4920670 1.3292969 -0.0060100 -0.7952410 0.0090510 0.6061960 
1413393213.915761 -1.0799609 0.4920610 1.3293090 -0.0059860 -0.7952400 0.0090660 0.6061970 
1413393213.920760 -1.0799220 0.4920610 1.3293210 -0.0059920 -0.7952480 0.0090630 0.6061870 
1413393213.925761 -1.0798800 0.4920660 1.3293340 -0.0060270 -0.7952520 0.0090480 0.6061820 
1413393213.930760 -1.0800080 0.4920440 1.3293240 -0.0060680 -0.7952460 0.0090280 0.6061890 
1413393213.935760 -1.0799940 0.4920370 1.3293290 -0.0060930 -0.7952520 0.0090230 0.6061820 
1413393213.940761 -1.0799760 0.4920240 1.3293320 -0.0060970 -0.7952700 0.0090480 0.6061570 
1413393213.945760 -1.0799530 0.4920060 1.3293380 -0.0060750 -0.7952910 0.0090870 0.6061300 
