timestample processing_time_ms
1413393217.055760 0.205000
1413393217.105761 0.005000
1413393217.355761 0.044000
1413393217.455760 0.008000
1413393217.555760 0.007000
1413393217.705760 0.021000
1413393217.855761 0.006000
1413393218.005760 0.011000
1413393218.155761 0.012000
1413393218.305760 6.006000
1413393218.555760 5.606000
1413393218.805760 5.632000
1413393219.055760 10.466000
1413393219.405761 6.526000
1413393219.905761 6.392000
1413393220.105761 7.241000
1413393220.355761 7.586000
1413393220.605761 7.329000
1413393220.855761 7.695000
1413393221.155761 7.583000
1413393221.455760 9.049000
1413393221.705760 8.280000
1413393222.005760 9.319000
1413393222.305760 8.986000
1413393222.655761 9.574000
1413393222.955760 14.184000
1413393223.255760 10.441000
1413393223.605761 10.939000
1413393223.955760 11.054000
1413393224.305760 15.236000
1413393224.655761 11.494000
1413393225.005760 12.560000
1413393225.355761 12.885000
1413393225.755760 12.941000
1413393226.155761 12.030000
1413393226.555760 14.032000
1413393227.155761 19.570000
1413393227.555760 19.027000
1413393227.955760 14.192000
1413393228.405761 25.129000
1413393228.855761 16.478000
1413393229.205760 16.054000
1413393229.655761 15.450000
1413393230.055760 19.785000
1413393230.555760 17.014000
1413393231.055760 17.670000
1413393231.555760 22.720000
1413393232.055760 20.279000
1413393232.505760 17.191000
1413393232.805760 17.705000
1413393233.105761 19.380000
1413393233.355761 17.389000
1413393233.605761 17.507000
1413393233.805760 17.748000
1413393234.055760 19.419000
1413393234.305760 22.376000
1413393234.555760 18.919000
1413393234.805760 18.550000
1413393235.005760 19.442000
1413393235.255760 20.334000
1413393235.505760 19.973000
1413393235.755760 19.958000
1413393235.955760 20.510000
1413393236.105761 20.334000
1413393236.305760 19.652000
1413393236.555760 23.718000
1413393236.805760 22.460000
1413393237.055760 22.338000
1413393237.305760 21.619000
1413393237.555760 21.455000
1413393237.805760 22.955000
1413393238.155761 22.278000
1413393238.405761 22.747000
1413393238.705760 22.176000
1413393239.005760 27.389000
1413393239.305760 23.191000
1413393239.605761 22.613000
1413393239.855761 24.530000
1413393240.155761 27.656000
1413393240.505760 26.029000
1413393240.855761 24.243000
1413393241.205760 26.251000
1413393241.555760 26.342000
1413393241.905761 25.888000
1413393242.255760 28.052000
1413393242.605761 27.060000
1413393243.005760 27.157000
1413393243.355761 29.744000
1413393243.755760 27.746000
1413393244.155761 30.203000
