timestamp staDev_x staDev_y staDev_z
1413393221.155761 0.326288 0.140340 0.592360
1413393221.455760 0.313760 0.134042 0.570235
1413393221.705760 0.302377 0.128540 0.550190
1413393222.005760 0.292231 0.123660 0.531338
1413393222.305760 0.283320 0.119661 0.515280
1413393222.655761 0.275119 0.115863 0.500249
1413393222.955760 0.267541 0.112246 0.486117
1413393223.255760 0.260432 0.108950 0.473021
1413393223.605761 0.254050 0.105920 0.460833
1413393223.955760 0.247896 0.103099 0.449243
1413393224.305760 0.242380 0.100488 0.438672
1413393224.655761 0.237138 0.098126 0.428580
1413393225.005760 0.232472 0.096186 0.419677
1413393225.355761 0.227990 0.094338 0.411145
1413393225.755760 0.223746 0.092403 0.403037
1413393226.155761 0.219698 0.090603 0.395289
1413393226.555760 0.215735 0.089346 0.388160
1413393227.155761 0.211948 0.088329 0.381197
1413393227.555760 0.208359 0.087051 0.374611
1413393227.955760 0.204911 0.085940 0.368393
1413393228.405761 0.097520 0.085803 0.266208
1413393228.855761 0.008297 0.024206 0.027692
1413393229.205760 0.008295 0.024129 0.027708
1413393229.655761 0.008270 0.024273 0.028169
1413393230.055760 0.008065 0.021975 0.024410
1413393230.555760 0.007944 0.022576 0.023738
1413393231.055760 0.008058 0.022970 0.018838
1413393231.555760 0.007827 0.023268 0.014422
1413393232.055760 0.007342 0.023563 0.013994
1413393232.505760 0.007335 0.024187 0.011734
1413393232.805760 0.007347 0.024554 0.010424
1413393233.105761 0.007353 0.024246 0.010345
1413393233.355761 0.007288 0.023754 0.010472
1413393233.605761 0.007213 0.023065 0.010632
1413393233.805760 0.007081 0.022809 0.010614
1413393234.055760 0.006993 0.021181 0.010176
1413393234.305760 0.006894 0.018860 0.010329
1413393234.555760 0.006786 0.018622 0.010314
1413393234.805760 0.006775 0.012949 0.009241
1413393235.005760 0.005672 0.012457 0.008302
1413393235.255760 0.005693 0.012286 0.008212
1413393235.505760 0.004838 0.011641 0.008132
1413393235.755760 0.003763 0.008762 0.008224
1413393235.955760 0.003761 0.008642 0.008183
1413393236.105761 0.003794 0.008529 0.008161
1413393236.305760 0.002577 0.004616 0.008073
1413393236.555760 0.002498 0.004390 0.007905
1413393236.805760 0.002487 0.004343 0.007855
1413393237.055760 0.002520 0.004282 0.007824
1413393237.305760 0.002492 0.004289 0.007579
1413393237.555760 0.002469 0.003485 0.007416
1413393237.805760 0.002431 0.003550 0.007478
1413393238.155761 0.002423 0.003482 0.007533
1413393238.405761 0.002726 0.003747 0.007593
1413393238.705760 0.002861 0.003903 0.007722
1413393239.005760 0.002878 0.003769 0.007798
1413393239.305760 0.002856 0.003882 0.007423
1413393239.605761 0.002909 0.003946 0.007407
1413393239.855761 0.003013 0.004019 0.006750
1413393240.155761 0.003086 0.004189 0.006062
1413393240.505760 0.003098 0.004351 0.006083
1413393240.855761 0.003429 0.004504 0.005243
1413393241.205760 0.003734 0.004618 0.004992
1413393241.555760 0.003756 0.004724 0.004918
1413393241.905761 0.003887 0.004855 0.004919
1413393242.255760 0.004067 0.004963 0.004543
1413393242.605761 0.004146 0.004980 0.004464
1413393243.005760 0.004233 0.005084 0.004474
1413393243.355761 0.004376 0.005216 0.004624
1413393243.755760 0.004430 0.005305 0.004660
1413393244.155761 0.004532 0.005470 0.004624
