timestamp staDev_yaw staDev_roll staDev_pitch
1413393220.605761 24.638811 15.719523 33.158393
1413393220.855761 24.142196 15.402264 31.912760
1413393221.155761 23.617031 15.069835 30.789582
1413393221.455760 23.089639 14.731938 29.772204
1413393221.705760 22.574900 14.402400 28.847054
1413393222.005760 22.079085 14.088986 28.001266
1413393222.305760 21.604872 13.788415 27.222999
1413393222.655761 21.153837 13.504666 26.505322
1413393222.955760 20.728277 13.234261 25.841501
1413393223.255760 20.322954 12.975745 25.223929
1413393223.605761 19.936650 12.729966 24.647309
1413393223.955760 19.566548 12.494716 24.107561
1413393224.305760 19.215386 12.271141 23.602114
1413393224.655761 18.879914 12.058614 23.124567
1413393225.005760 18.557886 11.855292 22.675473
1413393225.355761 18.252319 11.662014 22.252137
1413393225.755760 17.957359 11.475307 21.849710
1413393226.155761 17.679783 11.295036 21.469632
1413393226.555760 17.413115 11.121924 21.108758
1413393227.155761 17.157533 10.956445 20.764971
1413393227.555760 16.912310 10.798178 20.437532
1413393227.955760 16.677354 10.646684 20.124969
1413393228.405761 14.593774 5.694721 1.404489
1413393228.855761 2.485009 0.245963 1.342904
1413393229.205760 0.781719 0.135938 0.592751
1413393229.655761 0.213578 0.105381 0.225769
1413393230.055760 0.096578 0.116912 0.085607
1413393230.555760 0.083208 0.128815 0.068086
1413393231.055760 0.091359 0.139127 0.075222
1413393231.555760 0.098079 0.158374 0.078505
1413393232.055760 0.098944 0.178266 0.080564
1413393232.505760 0.113096 0.191549 0.080191
1413393232.805760 0.126154 0.203067 0.078760
1413393233.105761 0.141389 0.215797 0.072922
1413393233.355761 0.153680 0.227178 0.067703
1413393233.605761 0.160296 0.233723 0.065259
1413393233.805760 0.168809 0.242557 0.065246
1413393234.055760 0.178272 0.243200 0.064720
1413393234.305760 0.185664 0.236206 0.059622
1413393234.555760 0.185892 0.232831 0.061716
1413393234.805760 0.187948 0.221449 0.063165
1413393235.005760 0.183999 0.214726 0.062659
1413393235.255760 0.181820 0.213433 0.063261
1413393235.505760 0.179540 0.202218 0.059022
1413393235.755760 0.165372 0.197794 0.059570
1413393235.955760 0.162586 0.195784 0.058948
1413393236.105761 0.159886 0.193644 0.058364
1413393236.305760 0.158872 0.191964 0.054749
1413393236.555760 0.156171 0.191796 0.048447
1413393236.805760 0.154039 0.190798 0.047660
1413393237.055760 0.152252 0.191558 0.046958
1413393237.305760 0.149979 0.192635 0.044595
1413393237.555760 0.147155 0.192526 0.039852
1413393237.805760 0.145396 0.190517 0.039471
1413393238.155761 0.143950 0.189505 0.033012
1413393238.405761 0.139566 0.188498 0.030042
1413393238.705760 0.138693 0.187483 0.029858
1413393239.005760 0.133183 0.186981 0.028841
1413393239.305760 0.126357 0.188310 0.028694
1413393239.605761 0.127560 0.188801 0.030111
1413393239.855761 0.123907 0.191478 0.031595
1413393240.155761 0.121436 0.192021 0.033155
1413393240.505760 0.122411 0.190180 0.034621
1413393240.855761 0.119794 0.190106 0.035583
1413393241.205760 0.122084 0.190195 0.036420
1413393241.555760 0.123721 0.187225 0.036594
1413393241.905761 0.123746 0.184849 0.037052
1413393242.255760 0.125437 0.180665 0.037749
1413393242.605761 0.124121 0.176345 0.036157
1413393243.005760 0.122064 0.168958 0.035173
1413393243.355761 0.113934 0.141674 0.032462
1413393243.755760 0.111757 0.121705 0.032711
1413393244.155761 0.093851 0.066944 0.033111
