timestamp biasa_x biasa_y biasa_z
1413393218.305760 -0.637163 6.070956 -2.631115 
1413393218.555760 0.000000 0.000000 0.000000 
1413393218.805760 -1.645328 7.282619 -5.801462 
1413393219.055760 nan nan nan 
1413393219.405761 0.083340 -0.010170 0.415802 
1413393219.905761 -0.465184 2.580477 -1.207949 
1413393220.105761 -0.518098 0.410124 -1.269804 
1413393220.355761 -0.446751 0.390075 -1.089769 
1413393220.605761 -0.515034 1.145375 -1.294363 
1413393220.855761 -0.560793 1.287517 -1.412261 
1413393221.155761 -0.876628 2.164687 -2.297214 
1413393221.455760 -0.288024 0.330757 -0.649637 
1413393221.705760 -0.226742 0.159236 -0.465265 
1413393222.005760 -0.031290 -0.477896 0.079330 
1413393222.305760 -0.225553 0.104989 -0.485515 
1413393222.655761 -0.150718 -0.168363 -0.268238 
1413393222.955760 -0.082512 -0.523511 -0.071310 
1413393223.255760 -0.069009 -0.563990 -0.032364 
1413393223.605761 -0.075133 -0.617116 -0.047274 
1413393223.955760 0.011041 -0.796454 0.207626 
1413393224.305760 -0.103321 -0.400165 -0.101729 
1413393224.655761 -0.057216 -0.548238 0.029963 
1413393225.005760 -0.196444 0.630309 -0.358590 
1413393225.355761 -0.128310 0.172723 -0.176190 
1413393225.755760 -0.098561 -0.051997 -0.090804 
1413393226.155761 -0.116408 0.172051 -0.146076 
1413393226.555760 -0.072487 0.147667 0.002214 
1413393227.155761 -0.058168 0.076872 0.021605 
1413393227.555760 -0.052873 0.066749 0.015354 
1413393227.955760 -0.052812 0.076397 0.011980 
1413393228.405761 -0.051418 0.090921 0.018471 
1413393228.855761 -0.046088 0.123734 0.027298 
1413393229.205760 -0.045869 0.120116 0.025303 
1413393229.655761 -0.046351 0.130097 0.026156 
1413393230.055760 -0.042788 0.137855 0.029157 
1413393230.555760 -0.043978 0.133455 0.024092 
1413393231.055760 -0.034526 0.102862 0.027783 
1413393231.555760 -0.042856 0.109535 0.011691 
1413393232.055760 -0.039253 0.134860 0.012760 
1413393232.505760 -0.040204 0.112007 0.000704 
1413393232.805760 -0.041295 0.117529 0.000904 
1413393233.105761 -0.041168 0.115622 0.001253 
1413393233.355761 -0.041748 0.119797 0.001622 
1413393233.605761 -0.039781 0.131016 0.007148 
1413393233.805760 -0.038355 0.115621 0.010852 
1413393234.055760 -0.037228 0.108224 0.013771 
1413393234.305760 -0.036980 0.106211 0.015567 
1413393234.555760 -0.035398 0.101289 0.019730 
1413393234.805760 -0.036573 0.101839 0.016004 
1413393235.005760 -0.038120 0.099898 0.011163 
1413393235.255760 -0.035591 0.109459 0.018812 
1413393235.505760 -0.036500 0.115206 0.016236 
1413393235.755760 -0.036575 0.120587 0.016303 
1413393235.955760 -0.037366 0.122440 0.014029 
1413393236.105761 -0.037197 0.124373 0.014534 
1413393236.305760 -0.036557 0.129380 0.016526 
1413393236.555760 -0.037084 0.133742 0.015084 
1413393236.805760 -0.038547 0.134371 0.010855 
1413393237.055760 -0.038437 0.134298 0.011544 
1413393237.305760 -0.034598 0.137929 0.021237 
1413393237.555760 -0.033945 0.139527 0.022837 
1413393237.805760 -0.032534 0.147316 0.018239 
1413393238.155761 -0.032258 0.147741 0.019388 
1413393238.405761 -0.034668 0.157845 0.019361 
1413393238.705760 -0.033820 0.158501 0.021510 
1413393239.005760 -0.032945 0.160965 0.023766 
1413393239.305760 -0.032253 0.161686 0.025964 
1413393239.605761 -0.032494 0.169810 0.024919 
1413393239.855761 -0.033108 0.175960 0.026945 
1413393240.155761 -0.035191 0.175806 0.023812 
1413393240.505760 -0.035556 0.175784 0.023040 
1413393240.855761 -0.035729 0.179070 0.022711 
1413393241.205760 -0.035350 0.179575 0.023520 
1413393241.555760 -0.035097 0.179238 0.024400 
1413393241.905761 -0.034642 0.178462 0.025075 
1413393242.255760 -0.034351 0.179427 0.025524 
1413393242.605761 -0.034314 0.177972 0.026251 
1413393243.005760 -0.033853 0.178308 0.026621 
1413393243.355761 -0.033055 0.183581 0.027719 
1413393243.755760 -0.033375 0.181550 0.028925 
1413393244.155761 -0.032924 0.181631 0.029581 
