timestamp biasg_x biasg_y biasg_z
1413393218.305760 -0.006728 0.017885 0.069979 
1413393218.555760 -0.000973 0.016040 0.077113 
1413393218.805760 -0.000876 0.017074 0.080942 
1413393219.055760 -0.000504 0.018107 0.081903 
1413393219.405761 -0.000858 0.022620 0.082410 
1413393219.905761 -0.001648 0.023825 0.082882 
1413393220.105761 -0.001959 0.024217 0.083143 
1413393220.355761 -0.002091 0.024310 0.083224 
1413393220.605761 -0.002188 0.024290 0.083223 
1413393220.855761 -0.002203 0.024292 0.083224 
1413393221.155761 -0.002197 0.024331 0.083228 
1413393221.455760 -0.002196 0.024300 0.083225 
1413393221.705760 -0.002187 0.024331 0.083240 
1413393222.005760 -0.002211 0.024337 0.083232 
1413393222.305760 -0.002203 0.024337 0.083238 
1413393222.655761 -0.002213 0.024362 0.083256 
1413393222.955760 -0.002215 0.024382 0.083288 
1413393223.255760 -0.002250 0.024406 0.083299 
1413393223.605761 -0.002253 0.024409 0.083293 
1413393223.955760 -0.002275 0.024406 0.083280 
1413393224.305760 -0.002253 0.024396 0.083248 
1413393224.655761 -0.002240 0.024415 0.083247 
1413393225.005760 -0.002208 0.024408 0.083217 
1413393225.355761 -0.002201 0.024398 0.083201 
1413393225.755760 -0.002188 0.024424 0.083224 
1413393226.155761 -0.002173 0.024385 0.083180 
1413393226.555760 -0.002192 0.024476 0.083202 
1413393227.155761 -0.002225 0.024469 0.083169 
1413393227.555760 -0.002217 0.024464 0.083147 
1413393227.955760 -0.002193 0.024439 0.083134 
1413393228.405761 -0.002189 0.024478 0.083161 
1413393228.855761 -0.002176 0.024444 0.083154 
1413393229.205760 -0.002185 0.024426 0.083132 
1413393229.655761 -0.002181 0.024431 0.083108 
1413393230.055760 -0.002177 0.024406 0.083110 
1413393230.555760 -0.002183 0.024408 0.083077 
1413393231.055760 -0.002157 0.024318 0.083097 
1413393231.555760 -0.002239 0.024398 0.083043 
1413393232.055760 -0.002202 0.024450 0.083061 
1413393232.505760 -0.002225 0.024367 0.083026 
1413393232.805760 -0.002209 0.024457 0.083060 
1413393233.105761 -0.002200 0.024448 0.083049 
1413393233.355761 -0.002222 0.024468 0.083048 
1413393233.605761 -0.002175 0.024491 0.083046 
1413393233.805760 -0.002245 0.024424 0.083047 
1413393234.055760 -0.002230 0.024456 0.083045 
1413393234.305760 -0.002244 0.024458 0.083057 
1413393234.555760 -0.002250 0.024442 0.083089 
1413393234.805760 -0.002237 0.024449 0.083081 
1413393235.005760 -0.002230 0.024450 0.083067 
1413393235.255760 -0.002227 0.024468 0.083107 
1413393235.505760 -0.002235 0.024466 0.083077 
1413393235.755760 -0.002226 0.024459 0.083074 
1413393235.955760 -0.002233 0.024449 0.083061 
1413393236.105761 -0.002231 0.024456 0.083069 
1413393236.305760 -0.002221 0.024464 0.083067 
1413393236.555760 -0.002213 0.024450 0.083052 
1413393236.805760 -0.002216 0.024432 0.083044 
1413393237.055760 -0.002215 0.024424 0.083078 
1413393237.305760 -0.002211 0.024441 0.083102 
1413393237.555760 -0.002212 0.024435 0.083055 
1413393237.805760 -0.002208 0.024447 0.083030 
1413393238.155761 -0.002216 0.024457 0.083047 
1413393238.405761 -0.002213 0.024454 0.083033 
1413393238.705760 -0.002212 0.024452 0.083028 
1413393239.005760 -0.002203 0.024463 0.083036 
1413393239.305760 -0.002213 0.024456 0.083021 
1413393239.605761 -0.002204 0.024461 0.083005 
1413393239.855761 -0.002200 0.024452 0.082989 
1413393240.155761 -0.002217 0.024444 0.082997 
1413393240.505760 -0.002227 0.024427 0.082969 
1413393240.855761 -0.002237 0.024451 0.082970 
1413393241.205760 -0.002239 0.024447 0.082961 
1413393241.555760 -0.002236 0.024454 0.082966 
1413393241.905761 -0.002249 0.024455 0.082953 
1413393242.255760 -0.002247 0.024456 0.082953 
1413393242.605761 -0.002245 0.024461 0.082939 
1413393243.005760 -0.002262 0.024460 0.082930 
1413393243.355761 -0.002260 0.024447 0.082919 
1413393243.755760 -0.002256 0.024449 0.082912 
1413393244.155761 -0.002252 0.024464 0.082906 
