timestamp e_yaw e_pitch e_roll
1413393218.305760 5.932436 -38.095574 -111.279188
1413393218.305760 52.921692 -38.696237 -27.743917
1413393218.555760 62.223641 -26.543400 -1.965128
1413393218.805760 54.129535 -18.216878 1.770383
1413393219.055760 13.108466 -1.070195 -6.481646
1413393219.405761 4.154263 -0.438330 -2.775258
1413393219.905761 1.040102 -0.064317 -0.882076
1413393220.105761 0.262383 -0.067457 -0.035748
1413393220.355761 0.037974 0.011775 0.218100
1413393220.605761 0.025006 0.079160 0.324419
1413393220.855761 0.027642 0.032558 0.236643
1413393221.155761 0.088457 0.045246 0.239931
1413393221.455760 0.121026 -0.043801 0.255524
1413393221.705760 0.104552 -0.034174 0.307694
1413393222.005760 0.078346 0.080264 0.344007
1413393222.305760 0.049178 0.088851 0.309457
1413393222.655761 -0.004882 0.198340 0.338278
1413393222.955760 -0.151412 0.216906 0.395987
1413393223.255760 -0.160535 0.192427 0.374179
1413393223.605761 -0.150616 0.211877 0.333692
1413393223.955760 -0.053275 0.163913 0.304468
1413393224.305760 -0.110387 0.187656 0.360146
1413393224.655761 -0.068825 0.218012 0.176266
1413393225.005760 0.049551 0.189589 0.250048
1413393225.355761 -0.044547 0.238368 0.322411
1413393225.755760 0.149997 0.118539 0.149447
1413393226.155761 -0.131393 -0.000318 0.297505
1413393226.555760 -0.068654 -0.051898 0.315628
1413393227.155761 -0.062943 -0.036051 0.268999
1413393227.555760 -0.054299 -0.012401 0.290068
1413393227.955760 -0.090298 0.015367 0.282413
1413393228.405761 -0.012234 0.038263 0.232012
1413393228.855761 0.016197 0.019791 0.203085
1413393229.205760 0.036470 -0.036112 0.194939
1413393229.655761 0.002236 -0.124485 0.179651
1413393230.055760 -0.025410 -0.238666 0.172001
1413393230.555760 -0.029907 -0.236058 0.158940
1413393231.055760 -0.212156 -0.193518 0.104022
1413393231.555760 -0.293606 -0.329887 0.173999
1413393232.055760 -0.255309 -0.359206 0.149674
1413393232.505760 -0.376572 -0.348692 0.208270
1413393232.805760 -0.384350 -0.406936 0.194400
1413393233.105761 -0.427411 -0.480935 0.191421
1413393233.355761 -0.419972 -0.502498 0.187881
1413393233.605761 -0.354132 -0.502523 0.163258
1413393233.805760 -0.448977 -0.519834 0.155021
1413393234.055760 -0.456383 -0.446106 0.137106
1413393234.305760 -0.432486 -0.332389 0.125613
1413393234.555760 -0.364436 -0.049757 0.099232
1413393234.805760 -0.364833 -0.073288 0.125104
1413393235.005760 -0.335266 0.056882 0.160957
1413393235.255760 -0.310851 0.000591 0.114972
1413393235.505760 -0.273861 0.025873 0.128029
1413393235.755760 -0.243911 0.019229 0.129148
1413393235.955760 -0.257323 -0.052898 0.145462
1413393236.105761 -0.246712 -0.060411 0.144051
1413393236.305760 -0.217354 -0.069692 0.134521
1413393236.555760 -0.190972 -0.059909 0.142855
1413393236.805760 -0.172802 -0.015974 0.168497
1413393237.055760 -0.154126 0.045829 0.157519
1413393237.305760 -0.149699 0.008127 0.107887
1413393237.555760 -0.157434 -0.016948 0.100493
1413393237.805760 -0.168221 -0.053634 0.133839
1413393238.155761 -0.149542 -0.025399 0.129524
1413393238.405761 -0.136779 0.003912 0.135102
1413393238.705760 -0.133563 -0.009856 0.126889
1413393239.005760 -0.118838 0.000834 0.116953
1413393239.305760 -0.108209 0.020518 0.099213
1413393239.605761 -0.080496 0.051093 0.082107
1413393239.855761 -0.075920 0.041860 0.072228
1413393240.155761 -0.080868 -0.014421 0.069276
1413393240.505760 -0.090400 -0.030666 0.067029
1413393240.855761 -0.093228 -0.036595 0.077773
1413393241.205760 -0.096933 -0.055877 0.077593
1413393241.555760 -0.103800 -0.077287 0.081418
1413393241.905761 -0.107869 -0.071162 0.077343
1413393242.255760 -0.101033 -0.058630 0.076858
1413393242.605761 -0.116369 -0.070196 0.070751
1413393243.005760 -0.118017 -0.073704 0.065995
1413393243.355761 -0.096715 -0.097338 0.059490
1413393243.755760 -0.104761 -0.093852 0.053876
1413393244.155761 -0.109297 -0.097292 0.053781
