timestamp e_x e_y e_z
1413393218.305760 0.984674 -0.073818 1.446565
1413393218.555760 -0.021640 -0.064677 0.009811
1413393218.805760 0.510768 -0.452988 1.451097
1413393219.055760 nan nan nan
1413393219.405761 -0.028698 -0.020771 0.004754
1413393219.905761 -0.010365 0.063361 -0.075903
1413393220.105761 -0.023393 0.014448 -0.019730
1413393220.355761 -0.031765 0.017954 -0.029016
1413393220.605761 -0.023690 0.025086 -0.043269
1413393220.855761 -0.016406 0.015975 -0.047503
1413393221.155761 -0.032950 -0.013722 -0.045994
1413393221.455760 -0.011095 -0.021458 -0.008284
1413393221.705760 -0.007053 -0.020165 -0.006187
1413393222.005760 -0.011334 -0.020455 0.017731
1413393222.305760 -0.022762 0.000020 -0.020914
1413393222.655761 -0.021746 -0.008308 -0.009807
1413393222.955760 -0.020574 -0.021890 0.004498
1413393223.255760 -0.015129 -0.021654 0.008721
1413393223.605761 -0.025692 -0.022710 0.013715
1413393223.955760 -0.013526 -0.031048 0.034875
1413393224.305760 -0.027107 -0.034140 0.019498
1413393224.655761 -0.022624 -0.050589 0.040055
1413393225.005760 -0.038964 0.002116 -0.004886
1413393225.355761 -0.034337 0.001133 0.007542
1413393225.755760 -0.033880 -0.016803 0.014321
1413393226.155761 -0.031850 -0.013630 0.024821
1413393226.555760 -0.020654 0.018458 0.004404
1413393227.155761 -0.017562 0.027888 0.028115
1413393227.555760 -0.018309 0.013028 0.025946
1413393227.955760 -0.013976 0.020246 0.020510
1413393228.405761 -0.015247 0.022537 0.022757
1413393228.855761 -0.014315 0.017011 0.021189
1413393229.205760 -0.013233 0.020172 0.028721
1413393229.655761 -0.014252 0.024198 0.029006
1413393230.055760 -0.017100 0.030880 0.028256
1413393230.555760 -0.017829 0.028413 0.029455
1413393231.055760 -0.016866 0.029815 0.020530
1413393231.555760 -0.010850 0.020653 0.014584
1413393232.055760 -0.017367 0.030277 0.018798
1413393232.505760 -0.019065 0.031681 0.011912
1413393232.805760 -0.017887 0.030739 0.009382
1413393233.105761 -0.018792 0.029112 0.005978
1413393233.355761 -0.018584 0.028506 0.005925
1413393233.605761 -0.018710 0.030221 0.008358
1413393233.805760 -0.018368 0.027786 0.008434
1413393234.055760 -0.016748 0.027614 0.010875
1413393234.305760 -0.016061 0.028623 0.007940
1413393234.555760 -0.016878 0.028628 0.006947
1413393234.805760 -0.017248 0.028872 0.017126
1413393235.005760 -0.013576 0.027747 0.017248
1413393235.255760 -0.012152 0.028179 0.011325
1413393235.505760 -0.013692 0.028410 0.009901
1413393235.755760 -0.012586 0.028465 0.009624
1413393235.955760 -0.013008 0.028949 0.009287
1413393236.105761 -0.011938 0.029062 0.008511
1413393236.305760 -0.012513 0.029173 0.009095
1413393236.555760 -0.012154 0.029310 0.009029
1413393236.805760 -0.013426 0.029462 0.009209
1413393237.055760 -0.012056 0.028363 0.008394
1413393237.305760 -0.014655 0.028697 0.007151
1413393237.555760 -0.012765 0.028953 0.006242
1413393237.805760 -0.015026 0.022207 0.004398
1413393238.155761 -0.015297 0.021470 0.004373
1413393238.405761 -0.022446 0.018048 0.001256
1413393238.705760 -0.021211 0.019756 0.001039
1413393239.005760 -0.017850 0.018938 0.000349
1413393239.305760 -0.017020 0.018287 0.000065
1413393239.605761 -0.020170 0.021253 0.003651
1413393239.855761 -0.020950 0.021616 0.004178
1413393240.155761 -0.020186 0.018445 0.002205
1413393240.505760 -0.019712 0.018134 0.002053
1413393240.855761 -0.025315 0.018719 -0.001900
1413393241.205760 -0.025466 0.018471 -0.001118
1413393241.555760 -0.023396 0.017841 0.001657
1413393241.905761 -0.024311 0.017157 0.001872
1413393242.255760 -0.024633 0.017054 0.002297
1413393242.605761 -0.022666 0.017427 0.003733
1413393243.005760 -0.022802 0.015487 0.002175
1413393243.355761 -0.023060 0.015505 0.000441
1413393243.755760 -0.022050 0.014546 0.001264
1413393244.155761 -0.021675 0.014116 0.003104
