timestamp x y z
1413393218.305760 -1.587772 0.629746 -2.088280
1413393218.555760 -0.668328 0.555490 -1.355716
1413393218.805760 -0.270922 0.254815 -0.997462
1413393219.055760 0.000000 0.000000 0.000000
1413393219.405761 0.016412 -0.058925 0.036916
1413393219.905761 -0.003884 -0.056466 -0.005097
1413393220.105761 -0.013767 -0.082379 -0.000378
1413393220.355761 -0.007432 -0.094760 0.021544
1413393220.605761 -0.016637 -0.095109 0.031929
1413393220.855761 -0.023044 -0.089171 0.033416
1413393221.155761 -0.020800 -0.047771 0.000285
1413393221.455760 -0.020089 -0.053243 0.009400
1413393221.705760 -0.020649 -0.055986 0.014245
1413393222.005760 -0.007433 -0.061713 0.010298
1413393222.305760 -0.006501 -0.063020 0.018523
1413393222.655761 -0.002989 -0.062674 0.017030
1413393222.955760 -0.001195 -0.058469 0.008763
1413393223.255760 -0.007987 -0.061816 0.009056
1413393223.605761 -0.003858 -0.065577 0.016738
1413393223.955760 -0.010024 -0.064885 0.009147
1413393224.305760 -0.005595 -0.057962 0.006120
1413393224.655761 -0.006134 -0.048843 -0.006304
1413393225.005760 -0.005296 -0.048038 -0.003915
1413393225.355761 -0.008315 -0.048256 -0.012417
1413393225.755760 0.000967 -0.053515 0.007082
1413393226.155761 -0.003023 -0.057684 0.002386
1413393226.555760 -0.006150 -0.057265 0.000338
1413393227.155761 -0.009511 -0.058675 -0.006919
1413393227.555760 -0.011067 -0.052085 -0.006527
1413393227.955760 -0.014035 -0.063747 -0.006750
1413393228.405761 -0.014501 -0.070980 -0.011064
1413393228.855761 -0.014404 -0.071026 -0.011231
1413393229.205760 -0.011243 -0.063463 -0.008247
1413393229.655761 -0.010109 -0.062682 -0.006548
1413393230.055760 -0.005602 -0.064574 -0.008095
1413393230.555760 -0.008711 -0.065122 -0.008182
1413393231.055760 -0.006283 -0.073550 -0.010948
1413393231.555760 -0.007836 -0.074436 -0.008543
1413393232.055760 -0.010676 -0.073106 -0.006325
1413393232.505760 -0.009545 -0.076485 -0.010062
1413393232.805760 -0.012298 -0.077812 -0.006980
1413393233.105761 -0.010827 -0.078408 -0.005020
1413393233.355761 -0.012653 -0.078637 -0.003552
1413393233.605761 -0.014954 -0.078347 -0.003515
1413393233.805760 -0.015203 -0.080386 -0.004742
1413393234.055760 -0.018415 -0.081279 -0.003294
1413393234.305760 -0.021063 -0.082941 -0.000944
1413393234.555760 -0.023960 -0.084696 0.000730
1413393234.805760 -0.015403 -0.083294 -0.004522
1413393235.005760 -0.015765 -0.081855 -0.006316
1413393235.255760 -0.019637 -0.080833 -0.001823
1413393235.505760 -0.016892 -0.079473 -0.001055
1413393235.755760 -0.016303 -0.077764 -0.000038
1413393235.955760 -0.018090 -0.078025 0.001550
1413393236.105761 -0.019245 -0.077612 0.002212
1413393236.305760 -0.018530 -0.076827 0.001914
1413393236.555760 -0.018521 -0.076599 0.001128
1413393236.805760 -0.018499 -0.076498 0.000986
1413393237.055760 -0.018543 -0.074639 0.002534
1413393237.305760 -0.017959 -0.072999 0.006448
1413393237.555760 -0.021197 -0.072845 0.009015
1413393237.805760 -0.021739 -0.073922 0.008503
1413393238.155761 -0.015981 -0.073558 0.006027
1413393238.405761 -0.021782 -0.075394 0.006808
1413393238.705760 -0.029773 -0.076988 0.010219
1413393239.005760 -0.021580 -0.076590 0.005981
1413393239.305760 -0.014744 -0.077446 0.004340
1413393239.605761 -0.016390 -0.077114 0.006843
1413393239.855761 -0.021099 -0.077486 0.009323
1413393240.155761 -0.016967 -0.076797 0.006001
1413393240.505760 -0.016439 -0.077115 0.005495
1413393240.855761 -0.016295 -0.078277 0.002512
1413393241.205760 -0.016324 -0.079065 0.001680
1413393241.555760 -0.015869 -0.079655 0.000642
1413393241.905761 -0.013957 -0.080286 0.001171
1413393242.255760 -0.013735 -0.080527 0.001621
1413393242.605761 -0.016150 -0.080987 0.001990
1413393243.005760 -0.015463 -0.080681 0.003916
1413393243.355761 -0.014238 -0.079597 0.007337
1413393243.755760 -0.015370 -0.079336 0.006572
1413393244.155761 -0.015836 -0.079394 0.005982
