timestamp s_refined s_star
1413393218.305760 0.574919 -0.108561 
1413393218.555760 0.000000 0.822504 
1413393218.805760 1.917236 1.161358 
1413393219.055760 nan 0.000000 
1413393219.405761 2.663907 2.653666 
1413393219.905761 2.959734 2.730056 
1413393220.105761 2.954988 2.928335 
1413393220.355761 2.928327 2.961734 
1413393220.605761 2.977531 2.999645 
1413393220.855761 2.984535 2.980170 
1413393221.155761 2.945346 2.928010 
1413393221.455760 2.910612 2.882698 
1413393221.705760 2.924470 2.892278 
1413393222.005760 2.885594 2.867840 
1413393222.305760 2.844002 2.826985 
1413393222.655761 2.837409 2.816376 
1413393222.955760 2.835386 2.809665 
1413393223.255760 2.839238 2.817027 
1413393223.605761 2.828961 2.823503 
1413393223.955760 2.849027 2.834650 
1413393224.305760 2.783568 2.807958 
1413393224.655761 2.764411 2.782991 
1413393225.005760 2.789578 2.780282 
1413393225.355761 2.804859 2.791562 
1413393225.755760 2.802269 2.796142 
1413393226.155761 2.797339 2.789690 
1413393226.555760 2.783016 2.771172 
1413393227.155761 2.767514 2.762906 
1413393227.555760 2.787087 2.766365 
1413393227.955760 2.802479 2.773036 
1413393228.405761 2.810900 2.782074 
1413393228.855761 2.819178 2.784961 
1413393229.205760 2.815006 2.777943 
1413393229.655761 2.821474 2.771267 
1413393230.055760 2.826700 2.766775 
1413393230.555760 2.824343 2.758239 
1413393231.055760 2.843513 2.770134 
1413393231.555760 2.851454 2.768930 
1413393232.055760 2.905453 2.769577 
1413393232.505760 2.898838 2.783657 
1413393232.805760 2.909842 2.797336 
1413393233.105761 2.902948 2.804970 
1413393233.355761 2.902014 2.809327 
1413393233.605761 2.903483 2.811954 
1413393233.805760 2.894971 2.815351 
1413393234.055760 2.890294 2.825786 
1413393234.305760 2.888066 2.838451 
1413393234.555760 2.885178 2.854877 
1413393234.805760 2.884032 2.851821 
1413393235.005760 2.879696 2.850676 
1413393235.255760 2.889199 2.866527 
1413393235.505760 2.893687 2.861232 
1413393235.755760 2.893192 2.853880 
1413393235.955760 2.893229 2.846128 
1413393236.105761 2.892354 2.842185 
1413393236.305760 2.890936 2.839890 
1413393236.555760 2.891865 2.838042 
1413393236.805760 2.891687 2.833523 
1413393237.055760 2.890891 2.835198 
1413393237.305760 2.887048 2.858547 
1413393237.555760 2.887133 2.866449 
1413393237.805760 2.875561 2.853357 
1413393238.155761 2.873192 2.847662 
1413393238.405761 2.851986 2.849891 
1413393238.705760 2.857478 2.856703 
1413393239.005760 2.864121 2.860276 
1413393239.305760 2.864953 2.871504 
1413393239.605761 2.864800 2.884764 
1413393239.855761 2.853693 2.893939 
1413393240.155761 2.851222 2.889570 
1413393240.505760 2.850106 2.890834 
1413393240.855761 2.848215 2.890202 
1413393241.205760 2.843724 2.894303 
1413393241.555760 2.844291 2.899860 
1413393241.905761 2.841898 2.906205 
1413393242.255760 2.838361 2.910533 
1413393242.605761 2.836739 2.917387 
1413393243.005760 2.836174 2.927237 
1413393243.355761 2.837556 2.939561 
1413393243.755760 2.835212 2.944842 
1413393244.155761 2.829545 2.947984 
